File,Line,Type,Hardcoded Text,Suggested i18n Key,Status,Translation (EN),Notes
src/components/Chatbot.tsx,131,placeholder,Type a message...,[Generate key],pending,Type a message...,
src/components/Logo.tsx,26,alt,CVDebug,[Generate key],pending,CVDebug,
src/components/LogoDropdown.tsx,42,alt,Logo,[Generate key],pending,Logo,
src/components/NewYearPromoModal.tsx,110,label,Days,[Generate key],pending,Days,
src/components/NewYearPromoModal.tsx,111,label,Hours,[Generate key],pending,Hours,
src/components/NewYearPromoModal.tsx,112,label,Mins,[Generate key],pending,Mins,
src/components/NewYearPromoModal.tsx,113,label,Secs,[Generate key],pending,Secs,
src/components/PricingDialog.tsx,32,toast,Please log in to purchase credits,[Generate key],pending,Please log in to purchase credits,
src/components/PricingDialog.tsx,55,toast,Failed to start checkout,[Generate key],pending,Failed to start checkout,
src/components/PricingDialog.tsx,153,label,Close,[Generate key],pending,Close,
src/components/admin/AdminDataImport.tsx,36,toast,Sync Complete,[Generate key],pending,Sync Complete,
src/components/admin/AdminDataImport.tsx,39,toast,Sync Failed,[Generate key],pending,Sync Failed,
src/components/admin/AdminManualGrant.tsx,43,placeholder,user@example.com or user_2...,[Generate key],pending,user@example.com or user_2...,
src/components/admin/AdminManualGrant.tsx,52,placeholder,John Doe,[Generate key],pending,John Doe,
src/components/admin/AdminManualGrant.tsx,64,placeholder,Select plan,[Generate key],pending,Select plan,
src/components/admin/AdminPaymentTesting.tsx,77,placeholder,User Email,[Generate key],pending,User Email,
src/components/admin/AdminPaymentsView.tsx,21,toast,💰 New Payment Received!,[Generate key],pending,💰 New Payment Received!,
src/components/admin/AdminUserTable.tsx,77,placeholder,Search users...,[Generate key],pending,Search users...,
src/components/dashboard/AIFeedbackWidget.tsx,34,toast,Please select a rating,[Generate key],pending,Please select a rating,
src/components/dashboard/AIFeedbackWidget.tsx,47,toast,Thank you for your feedback!,[Generate key],pending,Thank you for your feedback!,
src/components/dashboard/AIFeedbackWidget.tsx,56,toast,Failed to submit feedback,[Generate key],pending,Failed to submit feedback,
src/components/dashboard/AIFeedbackWidget.tsx,110,placeholder,Any additional comments? (optional),[Generate key],pending,Any additional comments? (optional),
